date,time,instrument,ordr_type,units,profit_pips,close_reason,orderID,end_reason,short_moving_window,long_moving_window,lists_size,loss_limit_num,profit_target,price_allowed_buffer,max_skips,consecutive_losses
2020-07-02,07:24:21,EUR_USD,short,1,0.0,MARKET_ORDER_POSITION_CLOSEOUT,2693,Take_profit,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:24:51,EUR_USD,long,1,0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2699,Take_profit,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:45:04,EUR_USD,short,1,-0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2705,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:45:09,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2711,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:45:15,EUR_USD,short,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2717,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:46:05,EUR_USD,short,1,-0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2723,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:46:45,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2729,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:46:59,EUR_USD,short,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2735,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:49:27,EUR_USD,short,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2741,Take_profit,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:51:19,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2747,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:51:30,EUR_USD,short,1,-0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2753,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,07:51:34,EUR_USD,long,1,-0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2759,direction_change,10,50,50,3,2.5e-05,0.1,1,2
2020-07-02,08:29:32,EUR_USD,short,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2765,direction_change,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:30:44,EUR_USD,long,1,0.0004,MARKET_ORDER_POSITION_CLOSEOUT,2771,Take_profit,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:31:32,EUR_USD,short,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2777,direction_change,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:33:55,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2783,Take_profit,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:36:11,EUR_USD,short,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2789,direction_change,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:37:05,EUR_USD,short,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2795,direction_change,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:38:12,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2801,direction_change,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:41:16,EUR_USD,short,1,0.0004,MARKET_ORDER_POSITION_CLOSEOUT,2807,Take_profit,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:43:28,EUR_USD,long,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2813,direction_change,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,08:46:50,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2819,Take_profit,20,300,300,3,2.5e-05,0.25,1,2
2020-07-02,09:42:02,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2825,direction_change,50,300,300,3,2.5e-05,0.25,1,2
2020-07-02,09:47:48,EUR_USD,short,1,0.0004,MARKET_ORDER_POSITION_CLOSEOUT,2831,Take_profit,50,300,300,3,2.5e-05,0.25,1,2
2020-07-02,09:55:13,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2837,direction_change,50,300,300,3,2.5e-05,0.25,1,2
2020-07-02,10:47:40,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2849,Take_profit,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:01:08,EUR_USD,short,1,0.001,MARKET_ORDER_POSITION_CLOSEOUT,2855,Take_profit,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:03:12,EUR_USD,long,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2861,direction_change,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:05:37,EUR_USD,short,1,0.0,MARKET_ORDER_POSITION_CLOSEOUT,2867,Take_profit,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:15:02,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2873,Take_profit,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:22:17,EUR_USD,short,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2879,Take_profit,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:26:32,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2885,direction_change,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:28:42,EUR_USD,short,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2891,Take_profit,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:31:39,EUR_USD,long,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2897,direction_change,50,300,300,3,1e-05,0.1,1,2
2020-07-02,11:37:26,EUR_USD,long,1,-0.0004,MARKET_ORDER_POSITION_CLOSEOUT,2903,direction_change,50,300,300,3,1e-05,0.1,1,2
2020-07-02,13:13:44,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2913,Take_profit,50,1000,300,3,1e-05,0.1,1,2
2020-07-02,14:01:42,EUR_USD,short,1,0.0005,MARKET_ORDER_POSITION_CLOSEOUT,2919,Take_profit,50,1000,300,3,1e-05,0.2,1,2
2020-07-02,14:05:25,EUR_USD,long,1,0.0004,MARKET_ORDER_POSITION_CLOSEOUT,2925,Take_profit,50,1000,300,3,1e-05,0.2,1,2
2020-07-03,05:29:41,EUR_USD,long,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2936,direction_change,50,1000,300,3,1e-05,0.2,1,2
2020-07-03,07:25:00,EUR_USD,short,1,0.0011,MARKET_ORDER_POSITION_CLOSEOUT,2951,Take_profit,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:36:03,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2957,Take_profit,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:39:59,EUR_USD,short,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2963,Take_profit,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:43:40,EUR_USD,long,1,0.0001,MARKET_ORDER_POSITION_CLOSEOUT,2969,Take_profit,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:55:50,EUR_USD,short,1,-0.0005,STOP_LOSS_ORDER,2974,direction_change,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:56:16,EUR_USD,long,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2979,direction_change,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:57:22,EUR_USD,short,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,2985,direction_change,50,750,300,3,1e-05,0.2,1,2
2020-07-03,07:57:30,EUR_USD,long,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,2991,direction_change,50,750,300,3,1e-05,0.2,1,2
2020-07-03,08:00:26,EUR_USD,long,1,-0.0004,MARKET_ORDER_POSITION_CLOSEOUT,2997,direction_change,50,750,300,3,1e-05,0.2,1,2
2020-07-03,08:04:13,EUR_USD,short,1,0.0,MARKET_ORDER_POSITION_CLOSEOUT,3003,Take_profit,50,750,300,3,1e-05,0.2,1,2
2020-07-03,10:18:00,EUR_USD,long,1,-0.0003,MARKET_ORDER_POSITION_CLOSEOUT,3015,direction_change,30,750,300,3,1e-05,0.2,1,2
2020-07-03,10:18:47,EUR_USD,short,1,-0.0002,MARKET_ORDER_POSITION_CLOSEOUT,3021,direction_change,30,750,300,3,1e-05,0.2,1,2
2020-07-03,10:18:56,EUR_USD,long,1,-0.0004,MARKET_ORDER_POSITION_CLOSEOUT,3027,direction_change,30,750,300,3,1e-05,0.2,1,2
2020-07-03,10:22:48,EUR_USD,long,1,0.0,MARKET_ORDER_POSITION_CLOSEOUT,3033,Take_profit,30,750,300,3,1e-05,0.2,1,2
2020-07-07,07:31:33,EUR_USD,long,1,0.0,MARKET_ORDER_POSITION_CLOSEOUT,3039,Take_profit,25,800,300,3,2e-05,0.3,1,2
