ERROR:root:--- Timestamp-2021-04-20 14:52:58.715027, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:52:59.082380, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:52:59.435001, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:00.055751, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:00.529123, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:01.055580, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:01.566606, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:02.115150, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:02.592491, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:03.181775, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:03.683923, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:04.068229, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:04.438197, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:04.861101, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:05.375694, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:05.748126, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:06.157827, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:06.659209, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:07.151539, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:07.685220, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:08.190429, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:08.774131, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:09.229762, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:09.734893, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:10.076784, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:10.522809, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:11.075703, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:11.788098, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:12.289539, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:12.848470, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:13.182807, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:13.623101, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:13.959538, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:14.509051, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:14.973429, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:15.506142, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:15.884755, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:16.408268, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:16.820827, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:18.132434, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:18.608113, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:19.043635, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:19.434822, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:19.855384, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:20.401374, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:20.870917, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:21.417380, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:21.885413, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:23.186721, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:23.757658, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:24.333356, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:24.740501, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:26.043905, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:26.597375, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:27.040752, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:27.589372, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:28.115799, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:29.419460, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:29.910885, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:30.444843, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:31.622328, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:32.279370, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:32.614760, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:33.167140, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:33.699242, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:34.199127, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:34.627717, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:35.231321, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:35.697896, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:36.039628, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:36.566331, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:36.921372, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:37.465666, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:37.920635, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:38.273649, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:38.826946, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:39.256321, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:39.657068, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:40.011901, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:40.538298, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:41.879733, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:42.344796, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:42.888093, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:43.440741, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:44.621819, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:44.955298, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:45.526528, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:45.959075, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:46.269116, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:46.743207, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:47.121416, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:47.618062, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:48.157610, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:48.607304, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:49.004601, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:49.449927, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:50.066599, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:50.612403, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:51.138998, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:52.430432, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:52.962634, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:53.296895, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:53.887995, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:54.242671, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:54.780665, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:55.160966, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:55.542318, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:55.958001, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:56.358880, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:56.756171, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:58.002783, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:58.498207, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:59.007369, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:53:59.607607, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:00.104628, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:00.618976, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:01.200768, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:01.641645, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:02.042836, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:02.521266, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:03.059957, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:03.582776, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:04.073065, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:04.642482, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:04.993631, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:05.396520, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:05.824486, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:06.410715, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:06.982011, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:07.427621, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:07.929832, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:08.390814, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:08.939013, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:10.185068, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:10.515495, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:10.981807, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:12.283628, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:12.751819, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:13.341444, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:13.748110, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:14.890941, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:15.362444, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:15.867581, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:16.415923, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:16.916585, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:17.334465, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:17.649622, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:18.146296, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:18.745694, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:19.116703, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:19.574480, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:20.158655, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:21.450113, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:22.713684, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:23.177034, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:24.544833, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:24.927456, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:25.470762, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:25.841665, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:26.496751, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:27.832648, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:28.375073, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:28.766038, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:29.285980, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:30.613007, Error-'candle_avg_height'
ERROR:root:--- Timestamp-2021-04-20 14:54:31.111381, Error-'candle_avg_height'
